"Time","Current power/SENSOR"
2023-04-09 05:16:30,200.00 mA
2023-04-09 05:16:40,199.00 mA
2023-04-09 05:16:50,204.00 mA
2023-04-09 05:17:00,196.00 mA
2023-04-09 05:17:10,197.00 mA
2023-04-09 05:17:20,196.00 mA
2023-04-09 05:17:30,192.00 mA
2023-04-09 05:17:40,186.00 mA
2023-04-09 05:17:50,195.00 mA
2023-04-09 05:18:00,186.00 mA
2023-04-09 05:18:10,188.00 mA
2023-04-09 05:18:20,183.00 mA
2023-04-09 05:18:30,186.00 mA
2023-04-09 05:18:40,176.00 mA
2023-04-09 05:18:50,178.00 mA
2023-04-09 05:19:00,177.00 mA
2023-04-09 05:19:10,166.00 mA
2023-04-09 05:19:20,167.00 mA
2023-04-09 05:19:30,172.00 mA
2023-04-09 05:19:40,170.00 mA
2023-04-09 05:19:50,168.00 mA
2023-04-09 05:20:00,163.00 mA
2023-04-09 05:20:10,165.00 mA
2023-04-09 05:20:20,163.00 mA
2023-04-09 05:20:30,163.00 mA
2023-04-09 05:20:40,154.00 mA
2023-04-09 05:20:50,151.00 mA
2023-04-09 05:21:00,151.00 mA
2023-04-09 05:21:10,152.00 mA
2023-04-09 05:21:20,155.00 mA
2023-04-09 05:21:30,151.00 mA
2023-04-09 05:21:40,151.00 mA
2023-04-09 05:21:50,155.00 mA
2023-04-09 05:22:00,152.00 mA
2023-04-09 05:22:10,146.00 mA
2023-04-09 05:22:20,147.00 mA
2023-04-09 05:22:30,143.00 mA
2023-04-09 05:22:40,144.00 mA
2023-04-09 05:22:50,146.00 mA
2023-04-09 05:23:00,176.00 mA
2023-04-09 05:23:10,151.00 mA
2023-04-09 05:23:20,147.00 mA
2023-04-09 05:23:30,146.00 mA
2023-04-09 05:23:40,145.00 mA
2023-04-09 05:23:50,143.00 mA
2023-04-09 05:24:00,142.00 mA
2023-04-09 05:24:10,141.00 mA
2023-04-09 05:24:20,138.00 mA
2023-04-09 05:24:30,142.00 mA
2023-04-09 05:24:40,136.00 mA
2023-04-09 05:24:50,137.00 mA
2023-04-09 05:25:00,135.00 mA
2023-04-09 05:25:10,135.00 mA
2023-04-09 05:25:20,133.00 mA
2023-04-09 05:25:30,131.00 mA
2023-04-09 05:25:40,131.00 mA
2023-04-09 05:25:50,129.00 mA
2023-04-09 05:26:00,128.00 mA
2023-04-09 05:26:10,127.00 mA
2023-04-09 05:26:20,127.00 mA
2023-04-09 05:26:30,125.00 mA
2023-04-09 05:26:40,125.00 mA
2023-04-09 05:26:50,123.00 mA
2023-04-09 05:27:00,122.00 mA
2023-04-09 05:27:10,121.00 mA
